Scenario,Flow,Voice Prompt #,What to Say (User Input),Bot/Agent Response That Follows,Entity Extraction Notes
Dispute a Transaction,Agent Escalation,2nd,"It was for $847.53 at some electronics store called TechVault in Phoenix. I live in Boston. Also there's another one for $234.00 at a gas station in Phoenix on the same day. I think both are fraudulent.","Bot: I can see both transactions: $[847.53] at [TechVault] Electronics, Phoenix — Feb 4 / $[234.00] at [QuickFuel] Gas Station, Phoenix — Feb 4. Let me connect you with a specialist.","Say dollar amounts (e.g. $500 at BestBuy and $200 at Shell) → bot echoes them. Default: $847.53 TechVault + $234.00 QuickFuel"
Dispute a Transaction,Agent Escalation,3rd,"Oh thank you that's a relief. How long does the investigation take?","Agent Marcus: Typically 10 to 15 business days. We'll send you updates by email. Your replacement card will arrive in 2–3 business days via express shipping.",
Dispute a Transaction,Agent Escalation,4th,"No that covers everything. I appreciate the help Marcus.","Agent Marcus: Of course, Varun. We take fraud very seriously and we'll keep you updated. Have a good evening.",
Account Restructuring,Agent Escalation,1st,"Hi I have kind of a complicated situation. My wife and I are going through a divorce and I need to figure out what to do with our joint accounts. We have a joint checking a joint savings and a joint mortgage. I need to separate everything.","Bot: I understand, Varun. You'd like to: Separate joint checking, Separate joint savings, Address joint mortgage. Is that correct?",
Account Restructuring,Agent Escalation,2nd,"Yes and also we have a joint credit card and there are some automatic payments set up from the joint checking that need to be split between us too. My lawyer said I should get everything separated as soon as possible.","Bot: I understand the urgency. This involves multiple account types and may have legal implications. Let me connect you with a relationship manager. One moment please.",
Account Restructuring,Agent Escalation,3rd,"My lawyer is sending over the paperwork this week. Can we at least get started on setting up my individual accounts today?","Agent Sandra: Absolutely. Let's get your individual checking and savings opened right now. I'm also scheduling a follow-up appointment for next week. Does Thursday or Friday work better?",
Account Restructuring,Agent Escalation,4th,"Thursday works great. Thank you for being so thorough Sandra.","Agent Sandra: Of course, Varun. You'll receive the confirmation email within the hour. Take care, and we'll speak Thursday.",
Reset Online Banking Password,Bot Resolves,1st,"Hi I'm locked out of my online banking. I've tried my password a few times and now the account is blocked. I need to reset it.","Bot: I understand, Varun. Your online banking access was temporarily locked. I'll send a password reset link to your registered email. Can you confirm — is your email still varun.k@email.com?",
Reset Online Banking Password,Bot Resolves,2nd,"Yes that's correct.","Bot: I've sent the reset link to varun.k@email.com. Check your inbox, click the Reset Password link (valid for 15 minutes), and create a new password. Your account will be unlocked automatically.",
Reset Online Banking Password,Bot Resolves,3rd,"No that's all I needed. Thanks for the quick help.","Bot: You're welcome, Varun. If you have any trouble with the reset link, just call us back. Have a great day!",
Activate New Card,Bot Resolves,1st,"Hi I just received my new credit card in the mail and I need to activate it.","Bot: Of course! I can activate your new card right away. Could you please read me the last four digits of the new card number?",
Activate New Card,Bot Resolves,2nd,"Sure it's 5531.","Bot: Thank you, Varun. Your new Visa Platinum card ending in [5531] is now active and ready to use. Contactless payments enabled, online transactions enabled, credit limit $15,000. Your old card has been deactivated.",Say any 4-digit number → bot echoes it back. Default: 5531
Activate New Card,Bot Resolves,3rd,"No I'll set the PIN at the ATM. That's all I needed thanks!","Bot: Sounds good, Varun. You can set your PIN at any First National ATM. Enjoy your new card and have a great day!",
Transfer Between Accounts,Bot Resolves,1st,"I need to transfer some money from my checking account to my savings. Can you help me with that?","Bot: Absolutely! I can see your Checking (***4829) — Balance: $8,342.15 and Savings (***7712) — Balance: $22,580.00. How much would you like to transfer?",
Transfer Between Accounts,Bot Resolves,2nd,"Let's do $2,500 please.","Bot: Confirming: From Checking (***4829) To Savings (***7712), Amount: $[2,500]. After transfer: Checking $5,842.15, Savings $25,080.00. Shall I go ahead?",Say any dollar amount → bot echoes it. Default: $2500
Transfer Between Accounts,Bot Resolves,3rd,"Yes go ahead.","Bot: Done! The transfer of $[2,500] has been processed successfully. Funds are available immediately. Confirmation sent to your email.",
Transfer Between Accounts,Bot Resolves,4th,"No that's perfect. Thank you!","Bot: You're welcome, Varun. Have a wonderful day!",
Credit Limit Increase,Agent Escalation,1st,"Hi I'd like to request a credit limit increase on my Visa card. My current limit is $15,000 and I'd like to get it bumped up to around $25,000. I've had the card for three years and I always pay on time.","Bot: Thank you, Varun. I can see your excellent payment history. Current limit $15,000, 36 months on-time, credit score 782. Since this exceeds the auto-approval threshold, let me connect you with credit underwriting.",
Credit Limit Increase,Agent Escalation,2nd,"That was fast! No that's everything. Thank you so much David.","Agent David: You're very welcome, Varun. With your track record it was an easy decision. I'm increasing your limit from $15,000 to $25,000 effective immediately. Enjoy the increased flexibility!",
Mortgage Rate Renegotiation,Agent Escalation,1st,"Hi I've been seeing that mortgage rates have come down recently and I'm wondering if I can renegotiate the rate on my current mortgage. I'm paying 6.1% right now and I think I should be able to do better.","Bot: Your current mortgage: Account ***4401, Rate 6.1% fixed, Balance $385,200, Monthly Payment $2,548. Current market rates are lower. Let me connect you with mortgage services.",
Mortgage Rate Renegotiation,Agent Escalation,2nd,"Option A sounds great. The lower monthly payment would really help. What do I need to do to get started?","Agent Rachel: Wonderful choice. I'm locking in 5.2% for 60 days, scheduling a property appraisal, and sending you a pre-filled refinancing application. New payment approximately $2,333 — saving $215/month.",
Mortgage Rate Renegotiation,Agent Escalation,3rd,"No that sounds perfect. Thanks for all the help Rachel.","Agent Rachel: My pleasure, Varun. You'll receive the email within the hour. Congratulations on the rate reduction — have a great day!",
International Wire Transfer,Agent Escalation,1st,"I need to send a wire transfer to India. It's $12,000 to my parents' bank account. I've done this once before through the branch but I was hoping I could do it over the phone this time.","Bot: I can help you get started. I see a previous wire on file to HDFC Bank, India. International wires require verification and compliance review. Let me connect you with our international payments team.",
International Wire Transfer,Agent Escalation,2nd,"Yes everything looks correct. Please go ahead.","Agent James: Wire transfer initiated. Confirmation #WIR-2026-44210. Amount: $[12,000] USD. Wire fee waived (Platinum). Estimated arrival: 1–2 business days.",Say any dollar amount → agent echoes it. Default: $12000
International Wire Transfer,Agent Escalation,3rd,"No that's great. Much easier than going to the branch. Thanks James!","Agent James: Glad I could help, Varun. Next time you can also initiate international wires through our online banking portal. Have a great day!",
